================================================================
TRACKER: Quant.tkr
WINDOW: default / 100B
================================================================
=== Run Configuration Info ===
File:                 /data/jwc/Documents/Trackers/Quant.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          8,903,400,000,000
Start Time:           7/15/2026 9:33:24 PM UTC
End Time:             7/25/2026 3:48:02 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

Quant.tkr : 20260725_034802.65 | 8903400000000 flips → heads: 50+2.6e-05% (Z:+0.1634) | a: 50+1.1e-04% (Z:+0.7017) | aHeads: 50+8.5e-05% | aTails: 50+1.4e-04% | aSame: 50+4.3e-04% | aDiff: 50-2.1e-04% | [RATE] H/T: 50+1.4e-04%/ 50+8.5e-05% S/D: 50+4.3e-04%/ 50-2.1e-04% | wallclock: 9.06:11:32 | fps: 11130745 | Z(1.96) in 16:58:23 | Z(3.00) in 1.19:06:55

segments              : 89
Edge Excursion Score  : +0.401426   // median(best TrueZ per segment)
Edge Settlement Score : -0.920284   // mean(end TrueZ per segment)
Edge Persistence Index: -0.383004   // settlement * fraction positive

Adjusted Anticipation Geometry:
avgBestTrueZ          : +0.383116
medianBestTrueZ       : +0.401426
avgEndTrueZ           : -0.920284
medianEndTrueZ        : -0.995049
avgMeanTrueZ          : -0.967614

bestTrueZ >= 1.96     :   4.4944%
bestTrueZ >= 3.00     :   3.3708%
endTrueZ  >= 0.00     :  23.5955%
endTrueZ  >= 1.96     :   1.1236%
meanTrueZ >= 0.00     :  13.4831%

Anticipation Path:
avgMeanA               : 50-2.10422e-05%
avgEndA                : 50-2.23320e-05%
medianEndA             : 50-5.00780e-05%
avgPctAAtLeast50       :  41.6180%
endA >= 50.00          :  40.4494%

Underlying Heads:
avgMeanZHeads          : -0.005895
avgEndZHeads           : -0.008002
medianEndZHeads        : +0.035645
avgPctZHeadsAbove0     :  51.3094%
endZHeads >= 0.00      :  51.6854%
|endZHeads| >= 1.96    :   7.8652%
corrMeanZHeadsMeanTrueZ: +0.192722
corrEndZHeadsEndTrueZ  : +0.255668
corrMeanAMeanZHeads    : +0.180743
corrEndAEndZHeads      : +0.268929
corrMeanAMeanTrueZ     : +0.902737
corrEndAEndTrueZ       : +0.856071

idx | span                  | bestTrueZ | aBest            | endTrueZ  | meanTrueZ | endA             | meanA            | endZH     | meanZH    | %a>=50  | %ZH>=0
 13 | 1,300,000,000,000..1… | +0.747025 |  50+1.47645e-04% | -1.443725 | -0.814505 |  50-1.19093e-04% |  50+5.89060e-08% | -0.690515 | -0.814758 |  47.400% |   0.200%
 14 | 1,400,000,000,000..1… | -0.154838 |  50-1.69030e-05% | -0.828163 | -1.045519 |  50-2.32940e-05% |  50-9.63276e-05% | +0.680838 | +0.074519 |   0.000% |  57.400%
 15 | 1,500,000,000,000..1… | -0.194227 |  50-2.74920e-05% | -0.778799 | -1.405022 |  50-4.09940e-05% |  50-9.62620e-05% | -0.519531 | +0.764808 |   2.200% |  96.000%
 16 | 1,600,000,000,000..1… | +0.483797 |  50+1.88855e-04% | -1.742832 | -0.951110 |  50-2.21952e-04% |  50-3.01019e-05% | +0.339085 | -0.617355 |  31.800% |  23.400%
 17 | 1,700,000,000,000..1… | -1.603654 |  50-1.74061e-04% | -1.695967 | -2.897426 |  50-1.78381e-04% |  50-3.81969e-04% | +0.567787 | +0.285624 |   0.000% |  64.000%
 18 | 1,800,000,000,000..1… | +1.378709 |  50+2.18492e-04% | +0.332064 | +0.530523 |  50+1.66212e-04% |  50+1.45928e-04% | -0.719153 | +0.152178 |  90.600% |  59.600%
 19 | 1,900,000,000,000..1… | +1.267972 |  50+2.03886e-04% | -1.093541 | -0.085982 |  50-1.34689e-04% |  50+6.26868e-05% | +0.241693 | -0.003231 |  72.600% |  64.800%
 20 | 2,000,000,000,000..2… | +0.513408 |  50+2.24441e-04% | +0.413329 | -1.535595 |  50+2.04388e-04% |  50-1.44240e-04% | +0.879335 | +0.614409 |  16.600% |  93.600%
 21 | 2,100,000,000,000..2… | +2.336721 |  50+3.77702e-04% | +1.000146 | +1.220027 |  50+1.62788e-04% |  50+2.56039e-04% | +0.029416 | -0.035343 | 100.000% |  50.800%
 22 | 2,200,000,000,000..2… | +1.296989 |  50+2.79551e-04% | -1.516413 | -0.143912 |  50+8.27200e-05% |  50+1.45908e-04% | -2.039581 | -1.066108 |  97.000% |   0.800%
 23 | 2,300,000,000,000..2… | +1.314110 |  50+2.16826e-04% | -0.229796 | -0.534246 |  50+2.18100e-06% |  50+6.24453e-05% | -0.243590 | -0.862142 |  90.600% |  23.400%
 24 | 2,400,000,000,000..2… | +0.622899 |  50+1.07730e-04% | -0.115657 | -0.446363 |  50+1.27186e-04% |  50+6.59616e-05% | -0.920052 | -0.863264 |  92.200% |   0.600%
 25 | 2,500,000,000,000..2… | +0.667361 |  50+1.11072e-04% | +0.582352 | -0.053093 |  50+9.37770e-05% |  50+4.60944e-05% | -0.010745 | -0.098807 |  75.200% |  49.800%
 26 | 2,600,000,000,000..2… | +1.176329 |  50+1.93860e-04% | -1.074207 | +0.192717 |  50-7.40850e-05% |  50+6.45988e-05% | -0.605652 | -0.072439 |  75.200% |  41.400%
 27 | 2,700,000,000,000..2… | -0.206509 |  50+3.53900e-05% | -2.025913 | -1.579229 |  50+8.61800e-06% |  50-7.40462e-06% | -2.080418 | -1.532398 |  42.600% |   0.000%
 28 | 2,800,000,000,000..2… | -1.907726 |  50+7.85000e-07% | -4.131921 | -3.988874 |  50-1.46989e-04% |  50-1.30381e-04% | -3.202280 | -3.164270 |   0.200% |   0.000%
 29 | 2,900,000,000,000..2… | +0.125353 |  50+2.44340e-05% | -1.517767 | -1.678758 |  50-8.02420e-05% |  50-8.21659e-05% | +1.010272 | -0.481177 |   4.400% |  48.400%
 30 | 3,000,000,000,000..3… | +0.738474 |  50+1.20593e-04% | -0.380934 | -0.884316 |  50+3.87500e-05% |  50-3.65339e-05% | +0.626011 | +0.651495 |  36.600% |  98.600%
 31 | 3,100,000,000,000..3… | +0.763589 |  50+1.82159e-04% | -1.532965 | -0.677686 |  50-6.49830e-05% |  50+2.36596e-05% | -1.121976 | -0.164492 |  62.000% |  53.600%
 32 | 3,200,000,000,000..3… | +0.079449 |  50+1.36730e-05% | -2.860236 | -1.380786 |  50-5.32550e-05% |  50-5.28786e-05% | +2.523422 | +0.879599 |  15.200% |  69.200%
 33 | 3,300,000,000,000..3… | -2.209717 |  50-2.19426e-04% | -3.429952 | -3.124918 |  50-3.84785e-04% |  50-2.70819e-04% | +0.996358 | +1.412109 |   0.000% | 100.000%
 34 | 3,400,000,000,000..3… | -1.363656 |  50-2.04988e-04% | -1.697036 | -2.719724 |  50-2.00494e-04% |  50-3.29137e-04% | -0.429001 | -0.287001 |   0.000% |  24.400%
 35 | 3,500,000,000,000..3… | +2.959013 |  50+4.69800e-04% | +1.859217 | +0.665442 |  50+4.26582e-04% |  50+1.61694e-04% | -0.838725 | +0.117320 |  72.000% |  62.400%
 36 | 3,600,000,000,000..3… | +4.027199 |  50+6.63675e-04% | +2.078805 | +2.529274 |  50+3.74227e-04% |  50+4.62124e-04% | +0.288014 | +0.111822 | 100.000% |  62.400%
 37 | 3,700,000,000,000..3… | +2.630598 |  50+4.25975e-04% | -1.517539 | +0.189020 |  50-1.03209e-04% |  50+9.78351e-05% | +0.864788 | -0.014222 |  62.800% |  49.000%
 38 | 3,800,000,000,000..3… | -0.980471 |  50+7.15490e-05% | -0.980471 | -1.703559 |  50+7.15490e-05% |  50-8.43266e-05% | +1.432986 | +1.170231 |   8.600% | 100.000%
 39 | 3,900,000,000,000..3… | +0.580246 |  50+2.32190e-04% | -0.098562 | -0.210295 |  50-1.38160e-05% |  50+9.23906e-05% | +0.011182 | +0.630116 |  91.200% |  79.000%
 40 | 4,000,000,000,000..4… | +1.708199 |  50+2.72814e-04% | +0.985612 | +0.450691 |  50+1.90386e-04% |  50+1.27836e-04% | +0.218494 | +0.157617 |  77.200% |  61.600%
 41 | 4,100,000,000,000..4… | +0.944572 |  50+1.85392e-04% | -0.084964 | -0.005093 |  50+5.42500e-05% |  50+1.22349e-04% | +0.428071 | +0.778896 | 100.000% | 100.000%
 42 | 4,200,000,000,000..4… | +0.472027 |  50+7.79500e-05% | -1.290507 | -1.003788 |  50-8.80630e-05% |  50-9.67719e-05% | -0.733547 | -0.296834 |  15.800% |  16.200%
 43 | 4,300,000,000,000..4… | +1.204423 |  50+2.08421e-04% | +0.080423 | -0.200141 |  50+1.99749e-04% |  50+6.52777e-05% | +1.182901 | -0.217948 |  77.200% |  33.000%
 44 | 4,400,000,000,000..4… | +1.658906 |  50+2.64031e-04% | -0.446950 | +0.069773 |  50+1.21800e-05% |  50+1.55900e-04% | -0.523983 | +0.460533 | 100.000% |  60.600%
 45 | 4,500,000,000,000..4… | +0.602787 |  50+1.22065e-04% | -1.604717 | -0.689618 |  50-8.28870e-05% |  50-1.88430e-05% | +1.080493 | +0.353393 |  33.600% |  73.000%
 46 | 4,600,000,000,000..4… | -0.694607 |  50-9.51520e-05% | -2.616494 | -1.897564 |  50-3.57112e-04% |  50-2.50876e-04% | +0.357919 | +0.129098 |   0.000% |  52.200%
 47 | 4,700,000,000,000..4… | -0.540281 |  50-7.44430e-05% | -1.028354 | -1.539364 |  50+6.20870e-05% |  50-1.66049e-04% | -1.421026 | -0.442817 |   7.000% |  18.800%
 48 | 4,800,000,000,000..4… | +1.115095 |  50+1.96377e-04% | -2.277049 | -0.475880 |  50-4.14680e-05% |  50+9.70437e-05% | +2.014782 | +0.918893 |  96.400% |  84.600%
 49 | 4,900,000,000,000..4… | -1.028860 |  50-1.62567e-04% | -2.179328 | -2.040616 |  50-1.23550e-05% |  50-1.46333e-04% | -2.101188 | +0.041715 |   0.400% |  54.000%
 50 | 5,000,000,000,000..5… | -0.349368 |  50-4.32040e-05% | -0.783771 | -1.491155 |  50-9.13750e-05% |  50-1.92360e-08% | +0.205864 | -1.488336 |  48.400% |   1.200%
 51 | 5,100,000,000,000..5… | +0.790614 |  50+1.26426e-04% | +0.600656 | -0.225102 |  50+1.47630e-04% |  50+1.00650e-04% | +0.333038 | +0.851400 |  89.000% |  95.400%
 52 | 5,200,000,000,000..5… | +0.843538 |  50+1.65881e-04% | -1.664889 | -1.057301 |  50-1.65670e-04% |  50-1.08877e-04% | +0.617100 | -0.179778 |  13.000% |  37.400%
 53 | 5,300,000,000,000..5… | +0.182849 |  50+1.55838e-04% | -0.071202 | -1.136184 |  50+8.57120e-05% |  50-2.65698e-05% | +0.613292 | +0.968142 |  26.000% | 100.000%
 54 | 5,400,000,000,000..5… | +1.391219 |  50+2.50872e-04% | -0.394444 | -0.065308 |  50+1.23815e-04% |  50+1.64465e-04% | +1.177518 | +1.105473 | 100.000% | 100.000%
 55 | 5,500,000,000,000..5… | -0.065940 |  50+1.54086e-04% | -0.396708 | -1.274923 |  50+7.00560e-05% |  50-2.39364e-05% | +0.839781 | +1.123536 |  38.600% | 100.000%
 56 | 5,600,000,000,000..5… | +1.806173 |  50+2.95924e-04% | +0.376975 | +0.640974 |  50+7.83490e-05% |  50+1.67203e-04% | +0.118547 | +0.239334 | 100.000% |  59.800%
 57 | 5,700,000,000,000..5… | +0.978080 |  50+1.98542e-04% | -0.594489 | -0.243799 |  50+1.33618e-04% |  50+1.06216e-04% | -1.439564 | -0.912425 |  99.400% |   1.400%
 58 | 5,800,000,000,000..5… | +1.104432 |  50+1.96794e-04% | +0.381396 | +0.082161 |  50+6.60770e-05% |  50+1.09420e-04% | -0.036512 | -0.380896 | 100.000% |  34.400%
 59 | 5,900,000,000,000..5… | +0.377911 |  50+5.98450e-05% | -0.113469 | -0.408464 |  50+4.79230e-05% |  50-3.25431e-05% | +0.416561 | +0.139223 |  23.600% |  78.800%
 60 | 6,000,000,000,000..6… | +1.005471 |  50+1.61796e-04% | -1.738032 | -0.687216 |  50-9.67680e-05% |  50+8.52962e-05% | -1.126018 | -1.206501 |  83.800% |   4.400%
 61 | 6,100,000,000,000..6… | +0.491121 |  50+8.67940e-05% | +0.149949 | -1.080348 |  50+7.49230e-05% |  50-8.52628e-05% | +0.323906 | +0.183992 |   7.800% |  67.400%
 62 | 6,200,000,000,000..6… | +0.657716 |  50+1.10461e-04% | -1.391807 | -0.466488 |  50-5.42850e-05% |  50+2.34049e-05% | +1.048478 | +0.610224 |  69.000% |  95.600%
 63 | 6,300,000,000,000..6… | -1.143612 |  50-4.23980e-05% | -1.834418 | -2.269019 |  50-1.26520e-05% |  50-7.14977e-05% | +1.754400 | +1.816828 |  10.400% | 100.000%
 64 | 6,400,000,000,000..6… | +0.418572 |  50+1.02767e-04% | -0.475860 | -1.016787 |  50-1.29360e-05% |  50+2.68003e-05% | +0.394045 | +1.164445 |  72.600% |  91.400%
 65 | 6,500,000,000,000..6… | +0.929406 |  50+1.88315e-04% | +0.230511 | -0.165935 |  50+1.23653e-04% |  50+1.17606e-04% | +0.551539 | +0.909739 |  96.400% | 100.000%
 66 | 6,600,000,000,000..6… | +0.520340 |  50+1.28430e-04% | -0.914385 | -1.259913 |  50-3.33860e-05% |  50-5.96770e-05% | -0.703234 | -0.806150 |  23.600% |  11.400%
 67 | 6,700,000,000,000..6… | +0.479983 |  50+7.62700e-05% | -1.477169 | -0.650647 |  50-1.67819e-04% |  50-3.40614e-05% | +0.415789 | -0.041628 |  34.800% |  40.600%
 68 | 6,800,000,000,000..6… | -0.419931 |  50+5.05860e-05% | -0.631583 | -1.397293 |  50+6.72140e-05% |  50-1.34567e-04% | -1.056681 | -0.253981 |   7.200% |  45.600%
 69 | 6,900,000,000,000..6… | +1.156805 |  50+1.93656e-04% | -0.237658 | -0.068160 |  50+3.20830e-05% |  50+1.31885e-04% | -0.440569 | -0.902273 |  99.600% |   0.000%
 70 | 7,000,000,000,000..7… | -0.241718 |  50+3.76400e-05% | -0.995814 | -1.230131 |  50-2.96120e-05% |  50-1.42992e-04% | +0.808531 | +0.025260 |   1.400% |  43.000%
 71 | 7,100,000,000,000..7… | +0.237898 |  50+9.40700e-05% | -1.415347 | -0.877319 |  50-1.77074e-04% |  50-3.87729e-05% | +0.295433 | +0.617719 |  32.600% |  93.000%
 72 | 7,200,000,000,000..7… | -0.083231 |  50-8.34100e-06% | -0.556814 | -0.998942 |  50-3.70190e-05% |  50-9.33684e-05% | -0.322685 | -0.361522 |   6.000% |  17.600%
 73 | 7,300,000,000,000..7… | +0.406036 |  50+7.67290e-05% | -3.371956 | -1.292220 |  50-1.69553e-04% |  50-8.23098e-05% | -2.299608 | -0.695575 |  13.400% |  26.600%
 74 | 7,400,000,000,000..7… | +0.277793 |  50+1.08321e-04% | +0.267257 | -2.111278 |  50+9.90640e-05% |  50-6.67997e-05% | -0.359279 | -1.688800 |  22.400% |   0.000%
 75 | 7,500,000,000,000..7… | +1.468170 |  50+2.88383e-04% | +0.475335 | +0.641793 |  50+1.13599e-04% |  50+1.53600e-04% | -0.243129 | -0.302085 | 100.000% |  14.200%
 76 | 7,600,000,000,000..7… | +0.564271 |  50+1.25403e-04% | -0.175272 | -0.124284 |  50-4.74400e-06% |  50+2.97726e-05% | +0.145269 | -0.184548 |  65.400% |  24.000%
 77 | 7,700,000,000,000..7… | +0.584421 |  50+1.76223e-04% | -0.281386 | -0.390213 |  50+2.62880e-05% |  50+2.97617e-05% | +0.447646 | +0.566080 |  73.600% |  96.000%
 78 | 7,800,000,000,000..7… | +0.488844 |  50+1.88759e-04% | -0.660505 | -0.210131 |  50+2.08540e-05% |  50+7.63875e-05% | +0.792397 | +0.686968 |  90.000% |  95.400%
 79 | 7,900,000,000,000..7… | -0.462173 |  50+5.87110e-05% | -0.847914 | -1.770848 |  50+4.04670e-05% |  50-2.66857e-05% | +1.103850 | +1.602073 |  55.400% | 100.000%
 80 | 8,000,000,000,000..8… | +0.887500 |  50+1.40350e-04% | +0.693418 | -0.303321 |  50+1.54186e-04% |  50+4.16085e-05% | +0.281740 | +0.323927 |  59.800% |  62.400%
 81 | 8,100,000,000,000..8… | +3.120359 |  50+4.97940e-04% | +1.743218 | +1.905030 |  50+2.81730e-04% |  50+3.44410e-04% | -0.038599 | -0.020385 | 100.000% |  46.400%
 82 | 8,200,000,000,000..8… | +1.829479 |  50+3.00468e-04% | -1.431158 | -0.490908 |  50-1.65856e-04% |  50-4.24121e-05% | -0.382193 | -0.065281 |  39.000% |  46.600%
 83 | 8,300,000,000,000..8… | +0.337263 |  50+2.90230e-04% | -0.106019 | -1.001308 |  50+2.44063e-04% |  50+9.52861e-05% | -1.649608 | -1.603949 |  72.800% |   0.000%
 84 | 8,400,000,000,000..8… | +0.866616 |  50+1.70363e-04% | -0.316215 | -0.338391 |  50+5.22150e-05% |  50+8.15312e-05% | +0.646452 | +0.339178 |  85.000% |  65.200%
 85 | 8,500,000,000,000..8… | +0.785940 |  50+1.46036e-04% | -1.289096 | +0.040770 |  50+2.45800e-06% |  50+7.36221e-05% | +1.304642 | +0.293597 |  85.800% |  66.200%
 86 | 8,600,000,000,000..8… | +0.308550 |  50+8.31220e-05% | -1.170220 | -0.736845 |  50-5.76460e-05% |  50-3.18503e-06% | -0.805635 | +0.062863 |  48.000% |  48.200%
 87 | 8,700,000,000,000..8… | -0.102420 |  50-1.53570e-05% | -0.198401 | -1.008778 |  50-1.55750e-05% |  50-1.07651e-04% | +0.099896 | -0.158670 |   0.000% |  30.800%
 88 | 8,800,000,000,000..8… | +0.732371 |  50+1.16720e-04% | +0.064049 | -0.027255 |  50+1.64210e-05% |  50+5.69874e-05% | -0.039807 | +0.286208 |  79.000% |  71.400%
 89 | 8,900,000,000,000..8… | +0.148823 |  50+2.77370e-05% | -2.262376 | -1.786908 |  50-1.90234e-04% |  50-1.17824e-04% | -1.059230 | -1.037353 |   5.400% |   3.200%
 90 | 9,000,000,000,000..9… | +0.334291 |  50+7.29110e-05% | -0.974405 | -0.951344 |  50+2.23010e-05% |  50-7.70369e-05% | +1.115449 | +0.331484 |  23.000% |  79.800%
 91 | 9,100,000,000,000..9… | +0.516077 |  50+9.00230e-05% | -1.790633 | -0.477757 |  50-2.00014e-04% |  50-1.86808e-05% | -0.525634 | -0.177149 |  40.800% |  27.800%
 92 | 9,200,000,000,000..9… | +0.067856 |  50+7.28290e-05% | -0.182976 | -1.363331 |  50+5.34230e-05% |  50-1.40339e-04% | -0.520852 | +0.261843 |   7.400% |  67.600%
 93 | 9,300,000,000,000..9… | +0.444477 |  50+1.13051e-04% | -0.449682 | -0.393012 |  50-5.41480e-05% |  50+7.41300e-05% | +0.107220 | -0.845654 |  89.400% |   4.600%
 94 | 9,400,000,000,000..9… | +1.207668 |  50+2.26308e-04% | +1.124304 | -0.471503 |  50+2.35627e-04% |  50+2.25209e-05% | +0.365932 | +0.613938 |  56.200% | 100.000%
 95 | 9,500,000,000,000..9… | +1.594269 |  50+2.71854e-04% | -2.050440 | -0.366774 |  50-1.00199e-04% |  50+2.65667e-05% | -1.416726 | -0.466212 |  50.200% |  16.000%
 96 | 9,600,000,000,000..9… | +1.125815 |  50+2.77091e-04% | +0.643928 | -0.736737 |  50+1.50838e-04% |  50+3.68125e-05% | -0.310055 | -0.969560 |  50.800% |   0.000%
 97 | 9,700,000,000,000..9… | +1.510165 |  50+2.52591e-04% | +0.054897 | +0.343937 |  50+1.77758e-04% |  50+1.75358e-04% | -1.069343 | -0.763557 | 100.000% |   1.400%
 98 | 9,800,000,000,000..9… | +0.928021 |  50+1.52329e-04% | -2.361589 | -0.217694 |  50-1.42741e-04% |  50+5.20948e-05% | -1.458816 | -0.541384 |  78.000% |   5.800%
 99 | 9,900,000,000,000..9… | +1.287610 |  50+3.47122e-04% | +1.197377 | -1.031133 |  50+3.31392e-04% |  50+1.17155e-04% | -0.898530 | -1.772086 |  82.200% |   0.000%
100 | 10,000,000,000,000..… | +1.482248 |  50+3.48450e-04% | -3.861736 | -2.015487 |  50-2.36452e-04% |  50-1.62293e-05% | -2.366282 | -1.912844 |  38.600% |   0.000%
101 | 10,100,000,000,000..… | -0.228437 |  50-3.12170e-05% | -1.492797 | -1.862038 |  50-1.61323e-04% |  50-1.57869e-04% | +0.472501 | -0.679781 |   0.000% |  39.800%
102 | 10,200,000,000,000..… | -0.015672 |  50+6.52200e-06% | -2.682579 | -1.388894 |  50-1.51072e-04% |  50-1.21503e-04% | -1.727116 | -0.596546 |   0.200% |   6.000%
103 | 10,300,000,000,000..… | -1.360665 |  50-1.01490e-04% | -1.470320 | -2.259412 |  50-1.06745e-04% |  50-1.72133e-04% | -0.795205 | -1.170749 |   0.000% |   0.000%
104 | 10,400,000,000,000..… | +1.151246 |  50+2.92317e-04% | +0.873959 | -0.080380 |  50+2.56299e-04% |  50+6.26010e-05% | +0.747019 | -0.154859 |  73.600% |  36.000%
105 | 10,500,000,000,000..… | +2.418409 |  50+3.84504e-04% | +1.820125 | +1.252703 |  50+3.14581e-04% |  50+3.14124e-04% | +0.169460 | +0.731435 | 100.000% |  98.000%
106 | 10,600,000,000,000..… | +1.935485 |  50+3.14682e-04% | +0.551337 | +0.861519 |  50+1.24012e-04% |  50+1.96977e-04% | +0.232984 | +0.285692 | 100.000% |  73.200%
107 | 10,700,000,000,000..… | +0.991621 |  50+2.71191e-04% | -2.193887 | -0.801814 |  50-1.59717e-04% |  50+6.19753e-06% | +1.183748 | +0.841010 |  60.600% | 100.000%
108 | 10,800,000,000,000..… | +0.254437 |  50+6.11000e-05% | -0.947380 | -0.774767 |  50+1.83890e-05% |  50-5.62749e-06% | +1.063683 | +0.713347 |  54.600% |  93.200%
109 | 10,900,000,000,000..… | -0.301795 |  50+5.96980e-05% | -2.031340 | -1.845391 |  50-2.38097e-04% |  50-1.41563e-04% | +0.525482 | +0.950071 |   7.400% | 100.000%
110 | 11,000,000,000,000..… | -0.919660 |  50-9.71850e-05% | -1.113900 | -1.731993 |  50-6.54900e-05% |  50-1.92107e-04% | +0.699705 | +0.515820 |   0.000% |  98.400%
111 | 11,100,000,000,000..… | -0.619591 |  50-8.24730e-05% | -2.427921 | -1.618346 |  50-2.34828e-04% |  50-1.66517e-04% | -0.942738 | -0.087395 |   0.000% |  45.000%
112 | 11,200,000,000,000..… | -0.567641 |  50-3.01200e-05% | -2.079881 | -1.896200 |  50-4.86860e-05% |  50-1.07760e-04% | -1.771963 | -1.214664 |   0.000% |   0.000%
113 | 11,300,000,000,000..… | -0.267535 |  50-3.67140e-05% | -0.267535 | -1.901606 |  50-3.67140e-05% |  50-9.18915e-05% | +0.035335 | -1.320292 |   1.800% |   0.200%
114 | 11,400,000,000,000..… | +1.531055 |  50+2.44325e-04% | +0.539061 | +0.567125 |  50+1.98367e-04% |  50+1.29543e-04% | +0.715522 | +0.150056 |  98.600% |  69.400%
115 | 11,500,000,000,000..… | +1.237444 |  50+2.07372e-04% | -2.200174 | -0.034240 |  50-1.41131e-04% |  50+4.28330e-05% | -1.307583 | -0.020945 |  56.400% |  48.400%
116 | 11,600,000,000,000..… | +0.164527 |  50+2.64190e-05% | -0.037555 | -0.719745 |  50+8.00000e-08% |  50-3.24506e-05% | +0.038061 | -0.489421 |  47.000% |   6.800%
117 | 11,700,000,000,000..… | -0.093312 |  50-8.51100e-06% | -1.423107 | -1.919863 |  50+6.47500e-06% |  50-1.74467e-04% | +1.464059 | +0.540891 |   2.000% |  62.400%
118 | 11,800,000,000,000..… | +0.564258 |  50+2.13563e-04% | -1.506882 | -0.370278 |  50-1.11989e-04% |  50+1.35834e-04% | +0.798602 | +1.229370 |  93.600% | 100.000%
119 | 11,900,000,000,000..… | +0.086608 |  50+8.18280e-05% | -0.075370 | -2.126069 |  50+3.27400e-05% |  50-1.56695e-04% | +0.282436 | +1.135042 |  11.400% | 100.000%
120 | 12,000,000,000,000..… | +0.852316 |  50+1.53002e-04% | -2.964218 | -0.959652 |  50-2.53989e-04% |  50-6.90842e-05% | +1.357850 | +0.401880 |  34.600% |  64.200%
121 | 12,100,000,000,000..… | -0.647540 |  50-2.73950e-05% | -0.855428 | -1.829372 |  50-4.32270e-05% |  50-1.44841e-04% | +0.582036 | +0.913320 |   0.000% | 100.000%
122 | 12,200,000,000,000..… | -0.481944 |  50-2.49350e-05% | -2.273304 | -1.669301 |  50-1.81174e-04% |  50-1.14838e-04% | +1.127460 | +0.943004 |   0.600% | 100.000%
123 | 12,300,000,000,000..… | +2.132368 |  50+3.67136e-04% | +1.736470 | -0.872676 |  50+3.01523e-04% |  50-3.88600e-07% | +0.170529 | +0.754292 |  35.800% |  83.800%
124 | 12,400,000,000,000..… | +2.097963 |  50+3.49681e-04% | -3.515371 | -0.512041 |  50-1.60619e-04% |  50+8.88839e-05% | +2.499528 | +1.051710 |  68.600% |  92.000%
125 | 12,500,000,000,000..… | -1.072347 |  50+2.79850e-05% | -1.810998 | -2.808376 |  50-1.57019e-04% |  50-1.51021e-04% | +0.817923 | +1.853237 |   7.400% | 100.000%
126 | 12,600,000,000,000..… | -0.065813 |  50+4.43790e-05% | -0.765069 | -0.904681 |  50-2.32580e-05% |  50-8.30524e-05% | +0.617972 | +0.323374 |  11.000% |  82.400%
127 | 12,700,000,000,000..… | +1.431765 |  50+3.24677e-04% | +1.373415 | -0.210696 |  50+3.18874e-04% |  50+1.14409e-04% | -0.643321 | -0.836068 |  77.600% |  14.800%
128 | 12,800,000,000,000..… | +2.451379 |  50+4.01718e-04% | -0.978048 | -0.060078 |  50-1.68050e-05% |  50+2.00315e-04% | +0.871764 | +1.298105 |  92.800% |  97.200%
129 | 12,900,000,000,000..… | +0.280007 |  50+1.21030e-04% | -0.423600 | -0.550152 |  50+1.22451e-04% |  50+3.70018e-05% | +1.198048 | +0.784172 |  82.600% | 100.000%
130 | 13,000,000,000,000..… | +1.041300 |  50+3.46309e-04% | -0.387613 | -0.358819 |  50+1.56482e-04% |  50+1.68207e-04% | +1.377292 | +1.422656 | 100.000% | 100.000%
131 | 13,100,000,000,000..… | +0.077621 |  50+1.65726e-04% | -0.756259 | -0.862568 |  50+1.08098e-04% |  50+1.03596e-04% | +1.439930 | +1.517767 |  97.800% | 100.000%
132 | 13,200,000,000,000..… | +3.116482 |  50+5.41306e-04% | +2.051098 | +1.046908 |  50+3.48977e-04% |  50+3.11653e-04% | -0.156027 | +0.887064 | 100.000% |  90.000%
133 | 13,300,000,000,000..… | +2.102643 |  50+3.67472e-04% | -0.758017 | -0.102019 |  50-5.18080e-05% |  50+8.25764e-05% | -0.430354 | -0.563242 |  54.600% |  15.000%
134 | 13,400,000,000,000..… | +0.991785 |  50+1.81149e-04% | +0.571892 | -0.506677 |  50+1.89851e-04% |  50-1.10580e-05% | +0.628832 | +0.033743 |  36.200% |  53.400%

Retained Anticipation: 50+8.98352e-05%
Settlement Adjusted Anticipation: 50+1.68802e-04%

Best excursion segment:
  idx         : 36

  TrueZ:
    bestTrueZ   : +4.027199
    meanTrueZ   : +2.529274
    endTrueZ    : +2.078805

  Anticipation:
    aAtTrueZ    : 50+6.63675e-04%
    mean a      : 50+4.62124e-04%
    min a       : 50+2.54776e-04%
    max a       : 50+6.86220e-04%
    end a       : 50+3.74227e-04%
    pct a >= 50 : 100.0000%

  Heads:
    best ZHeads : +0.170251
    mean ZHeads : +0.111822
    min ZHeads  : -0.785744
    max ZHeads  : +0.991121
    end ZHeads  : +0.288014
    pct ZH >= 0 : 62.4000%

Best settlement segment:
  idx         : 36

  TrueZ:
    bestTrueZ   : +4.027199
    meanTrueZ   : +2.529274
    endTrueZ    : +2.078805

  Anticipation:
